"id1","id2"
"38477","10011646"
"33053","10221960"
"25262","10315184"
"35810","10326220"
"38473","10333846"
"38474","10343605"
"27479","10351869"
"27975","10360978"
"17372","10363243"
"21047","10373002"
"20448","10377226"
"39176","10380060"
"22558","10412590"
"26461","200924629"
"20454","201692648"
"33047","201692665"
"20461","201692679"
"26617","201692705"
"21875","201700823"
"38231","201744288"
"32625","201935116"
"22100","201953026"
"22101","201953039"
"38944","201965217"
"38106","202026554"
"17187","202041204"
"18516","202045875"
"25318","202049393"
"29273","202070807"
"28963","202106724"
